source,material,materialType,weight,weightUnit,sellPrice,buybackPrice,currency,recordedDate,lineKey
"hargaemas-net","gold","Emas LM Batangan Antam",2,"gr",5516000,0,"IDR","2026-05-22",""
"hargaemas-net","gold","Emas LM Batangan Antam",3,"gr",8249000,0,"IDR","2026-05-22",""
"hargaemas-net","gold","Emas LM Batangan Antam",5,"gr",13715000,0,"IDR","2026-05-22",""
"hargaemas-net","gold","Emas LM Batangan Antam",10,"gr",27375000,0,"IDR","2026-05-22",""
"hargaemas-net","gold","Emas LM Batangan Antam",25,"gr",68312000,0,"IDR","2026-05-22",""
"hargaemas-net","gold","Emas LM Batangan Antam",50,"gr",136545000,0,"IDR","2026-05-22",""
"hargaemas-net","gold","Emas LM Batangan Antam",100,"gr",273012000,0,"IDR","2026-05-22",""
"hargaemas-net","gold","Emas LM Batangan Antam",250,"gr",682265000,0,"IDR","2026-05-22",""
"hargaemas-net","gold","Emas LM Batangan Antam",500,"gr",1364320000,0,"IDR","2026-05-22",""
"hargaemas-net","gold","Emas LM Batangan Antam",1000,"gr",2728600000,0,"IDR","2026-05-22",""
"hargaemas-net","gold","Emas LM Batangan Antam",0.5,"gr",1436500,0,"IDR","2026-05-23",""
"hargaemas-net","gold","Emas LM Batangan Antam",1,"gr",2773000,2577000,"IDR","2026-05-23",""
"hargaemas-net","gold","Emas LM Batangan Antam",2,"gr",5486000,0,"IDR","2026-05-23",""
"hargaemas-net","gold","Emas LM Batangan Antam",3,"gr",8204000,0,"IDR","2026-05-23",""
"hargaemas-net","gold","Emas LM Batangan Antam",5,"gr",13640000,0,"IDR","2026-05-23",""
"hargaemas-net","gold","Emas LM Batangan Antam",10,"gr",27225000,0,"IDR","2026-05-23",""
"hargaemas-net","gold","Emas LM Batangan Antam",25,"gr",67937000,0,"IDR","2026-05-23",""
"hargaemas-net","gold","Emas LM Batangan Antam",50,"gr",135795000,0,"IDR","2026-05-23",""
"hargaemas-net","gold","Emas LM Batangan Antam",100,"gr",271512000,0,"IDR","2026-05-23",""
"hargaemas-net","gold","Emas LM Batangan Antam",250,"gr",678515000,0,"IDR","2026-05-23",""
"hargaemas-net","gold","Emas LM Batangan Antam",500,"gr",1356820000,0,"IDR","2026-05-23",""
"hargaemas-net","gold","Emas LM Batangan Antam",1000,"gr",2713600000,0,"IDR","2026-05-23",""
"hargaemas-net","gold","Emas LM Batangan Antam",0.5,"gr",1436500,0,"IDR","2026-05-24",""
